Review Title,Review Date,Review Content,User Rating
" Painful - how can it get this bad?
",2024-06-10,"Take one of the most exciting and expansive fictional universes with iconic characters and storylines... then just tear it up without respect to its original mythos, lore, etc. That's the path of destruction that Disney has been on, save Andor, Rogue One, and to an extent, the Mandalorian.It's sad because I'm sure lots of talented professionals worked on this. Tragically, the writing and acting is truly terrible. Special effects are great, but that's not enough to compensate for all its other flaws.As a fan, I want to give it zero stars. Out of respect for the special effects artists, I'm giving 3.",3.0
" This is laughably bad writing & direction
",2024-06-05,"Who in the holy hell read these scripts and said ""yeah these are great, definitely don't need to rewrite the entire thing""This is insulting, the characters have less IQ points than midicholorians. They have entirely abandoned the crawls, the aesthetic, the grit. Everything is shiny & new (even after fight scenes) and some of the Jedi are foaming at the mouth to fight whipping out their sabers every single time they walk into a room. The audience learns so little about the main cast of characters to care about the threat they are facing as they are left scratching their heads over how ignorant the decisions being made by the characters are spare a few.There is one point someone is being held by the force, and moments later needs to be caught, they are cornered 2-1 by 2 Jedi (and they are unarmed while Jedi are not), but have held this character moments before using the force, the villain character drops a smoke bomb (they blow the dust up from their feet) and gets away. The Jedi look on in bewilderment .The first two episodes feel rushed, badly, BADLY written, and leave audiences very little to desire a return to this part of a galaxy far, far away.",3.0
" What happened to the $180 million it cost to film season one of The Acolyte.
",2024-06-09,"Then I've seen episode one and two of The Acolyte.Eight episodes at $180 million or $22.5 million per episode. In terms of production, I get the impression of a cheap 80s science fiction, there was nothing here that would indicate $22.5 million per episode.Roger Corman could have made both of these episodes in the 80s for less than $100,000 each. When I have seen the first two episodes of The Acolyte, I get a cheap feeling of a bad and cheap CW production which in recent years has often had a bad script, bad actors and a low budget.Among the actors, Lee Jung-jae was in a class of his own, otherwise there was a lot of stiff and poor acting from some of the actors, which can often be caused by bad directing.Plot, script and dialogue were often unforgivably bad and stupid and are totally illogical. I don't understand how it is possible to write such bad scripts as we see in some TV series and movies nowadays. Has anyone at Disney approved the script before it goes into production?I wasn't a big fan of Ahsoka, all the senators and generals were stupid and inept to such an extent that I sided with the Empire.However, Ahsoka was much better with better actors and it was more grandiose and magnificent with many more and better effects and seemed like a much more expensive production.",3.0
" Jar Jar Binks was a museum masterpiece next to this
",2024-06-13,"Meesa no lika dis doodoo.I mean seriously what were they thinking? Have they even watched what they produced?? The acting and writing are horrible they have completed destroyed this franchise! I mean come on it isnt hard to make entertaining star wars there are 1000's of stories surrounding this universe..They could just copy the story of The Old Republic and have the most successful modern day star wars story with this production budget. But Nope. Seems they think they can do better with some teenage soap opera. Do they even have a passion for Star Wars? And even if its to recover the cost of purchasing the license, you can't even milk the franchise with such low quality efforts...I do not recommend watching this, you will have a much better time putting Jar jar binks scenes on loop for 3 hours instead of watching the 3 currently released episodes...",1.0
" Complete garbage
",2024-06-12,"I tried to give this series a chance but after 3 episodes, I'm done. It's absolute hot garbage. I love Star Wars but Disney is ruining the franchise. The producer should never get another gig after this. What made anybody think people would want to watch this? Horrible acting, horrible plot that nobody will care about unless you like after school specials. So much material they could choose from and they choose to make a WB type TV show. This could be the breaking point for many Star Wars fans. I can't believe they spent 180 million on this series that only a small percentage of fans will even finish. I would give it zero stars if I could.",1.0
" I made an account just to rate this junk
",2024-06-12,"That's right, I didn't have an account until this morning but had to create one so I could warn everyone to stay away from this junk. Banging your head on the wall would be a better use of your time than watching this. Episode 3 was awful. After watching I quickly got my VCR out and watched the Holiday Special from the late 70s so I could feel good about Star Wars again. Yes, it was that bad. I was longing for Bea Arthur and Harvey Korman to show up and save this show. Witches? Seriously? The Wicked Witch from the West was more enjoyable than these ""witches"". I don't get it, all the money they spend and they can't hire anyone with any talent to come up with something creative, or at least interesting. Boring, uncreative, lame storyline, nothing new or original, just the same old story lines. EXTREMELY disappointed, no reason to keep Disney+ any more. Can it get any worse?",1.0
" Cultural Vandalism
",2024-06-13,"I have never left a one star review for anything before. I always think the writing and production are never bad enough to be one star.This series completely warrants a one star.The writing is awful. Wooden dialogue, boring characters and so far a terrible plot. The whole production looks naff.I am open to change and new concepts. The franchise can't grow with the same stories and ideas being replayed. The Mandolorian, Ahsoka and Andor have demonstrated that you can come up with new ideas, characters and plot lines that enhance the franchise. What the producers of this series have managed to do is spend an ungodly amount of money on producing utter garbage. Episode 3 is the worst episode of any show I have ever watched. D&D must be relieved that their butchery of Game of Thrones ending is nothing compared to this.We all want new Star Wars material. But we want it done in a way that honours the original films and captures the essence of what makes the franchise so great.Anyone who signed off on this project should be sacked with immediate effect.",1.0
" Garbage
",2024-06-05,I'm a huge star wars fan and I can already tell whoever created this has no respect for the Star Wars Universe. Who said the Jedi only pull their weapons when ready to kill ? And if this girl is Sith than she is dumb to just approach one on a bar. This director us obviously misinformed and doesn't know anything about Star Wars. This show will ruin everything if it continues. It needs to be canceled. I have to write so many words to explain my distaste for this show so I will provide more. The characters are weak and none of them show Jedi traits. Let's just bring back the cartoons so we can see how Star Wars is supposed to be done.,
" A Solid Entry in the Franchise
",2024-06-24,"The Acolyte is a mystery thriller show set within the Star Wars universe. It focuses on two sisters who take different paths in life and centres around an Assassin who is attempting to kill Jedi.At the time of me writing this review there have been four episodes released. Each episode I've seen, I've enjoyed quite a bit. While this show is by no means a masterpiece, it's an enjoyable watch that adds to the lore of this ever-expanding universe of the Star Wars canon.I particularly like the characters of Sol and Mae in particular. And each week as a new layer of the mystery is peeled back, I've enjoyed theorising about what is going to happen next every time I finish an episode.The show suffers somewhat from a short run time, however. Episodes are typically 30-40 minutes long and having such a small and incomplete view of the overall story can feel frustrating. However, I don't think this makes the show bad, in fact it leaves me wanting more all the time.I do hope this show finishes strong and I may or may not update my review to reflect the show as a whole when it completes, but so far it has been an enjoyable watch that keeps you guessing even when you think you've worked it all out.",8.0
" The power of 1
",2024-06-13,"The power of 2, the power of many!Doesn't really get much worse than this, changing the lore of the force, destroying what many have tried to do by adding a new branch of witches chanting? Doesn't really make any sense and makes Anakin Skywalker's birth seem unimpressive.What this tv show feels like it's really meant to do is change starwars to something that just doesn't make sense. The storyline feels nonsensical, from the poisoning scene, to being stabbed with a little knife, nothing is making sense. I won't bother after 3 episodes I've definitely seen enough and recommend everyone to just watch something else!",1.0
" Star Wars: A New Low
",2024-06-05,"I'll set the tone for this review: in the first ten minutes of episode 1, the lead character used an extinguisher to put out a fire... in the vacuum of space.Yes, the writing is that imbecilic, and there's no signs of it improving by the end of episode 2. The problem with dumb writers is that you get dumb characters. That's how the story progresses, characters making inexplicable assumptions and illogical judgments as blatant devices to drive a bewildering plot forwards.The series really doesn't feel as though it is part of the Star Wars franchise. The producers seem to be smitten with the Matrix, not George Lucas' legacy.If you have expectations of a low budget sci-fi kung fu show that feels like fan fiction created by 13 year olds, you won't be disappointed.The other notable observation I had was that all the characters feel so revoltingly weak. They exhude incompetence. They are soft, squishy, useless people with zero gravitas, authority or nobility. If it were a series about hairdressers, fine. But as Jedi knights and force wielding assassins, a hard ""no"".The sole purpose of this series seems to be one giant DEI reach-around for the identity politics minority. Yeah, I'm sure that anyone who objects to extreme politicization in what should be fan entertainment will be prejudiced as a '..phobe' or an '..ist'. Narcissism does not permit people to acknowledge their failings.I've been a Star Wars fan since watching episode 4 in the cinema as a kid. I even thought Ashoka was okay. This is the end of the line for me.",1.0
" I would not recommend this to my worst enemy
",2024-06-13,"From a creative standpoint and the way the lore is being disrespected, I cannot with good faith recommend this to my worst enemy. This cannot be canon to the Star Wars franchise. The writing is lackluster, the virtue signaling is unnecessary and the visuals are not even remotely pleasing. The only part I could kind of give props to is the action scenes but even then is only a small part of what is really just a giant dumpster fire.I would rather watch the original trilogy and the animated series of stars wars. Even the video games are much better than this series. I really hope the producers and writers can do better and create something that values their core audience instead of sending a message.",1.0
" Literally Harry Potter was more Star Wars than this nonsense
",2024-06-22,"I can't remember whether it was the lead actress, or the former assistant of Harvey W who said this in a recent intervew, but it is very telling isn't it - ""We intentionally hired everyone working on this project who isn't a Star Wars fan""
Yes, we can tell. What more needs to be said? What can be the intent of such a deliberate choice? It certainly isn't to make a Star Wars show to entertain and inspire Star Wars fans.The people currently in control of the disney reboot masquerading as Star Wars (and doing a terrible job of it), aim to take and warp it, to destroy what Star Wars was what we the fans love about it. They hate Star Wars and they hate us, the fans. They have made it very clear over and over.My recommendation, for those who wish to love and enjoy Star Wars again - stop wasting your precious time on this. It is beneath all of us. Instead go to a nearby second hand book shop and pick up some Star Wars books and comics from before the reboot. 2014 and older. There you will find the characters you fell in love with, and many new ones who are undoubtedly their equals. That is where true Star Wars lives.MTFBWY.",1.0
" Did they?
",2024-06-14,"Did any of the producers / directors ever actually WATCH the original Star Wars trilogy? I'm so confused by this snore fest. There's no connection to canon, I don't care about these characters AT ALL. Is this supposed to attract female viewers (like me?} because if that was the aim, it's a monumental fail. You know what attracts females to Star Wars? Same thing that attracts men....good writing. Is that so incredibly difficult? Do these writers even put ""interesting storyline"" in their top 10 goals for a script? This is just yet another insult to Star Wars crammed with obvious messaging and void of anything else. I'm so sick of it and canceled D+ today because of this series.",
" Who is this for?
",2024-06-13,"I'm just baffled who this series is aimed at? I get that reinvention is a good thing, but the conflicting and contradictory nature of so much of this show seems almost designed to annoy people that like Star Wars. Is the play here that they are trying to alienate the current fan base and instead find a large new audience? I really don't think this can possibly work. It's really starting to feel like just making something people that like Star Wars would actually watch is something they are actively trying to avoid.It's kind of depressing on so many levels. It's now starting to feel like the brand that Star Wars was is just not what they want Star Wars to be. When I think about the endless stories they could make instead, that would not exclude new audiences and still excite old audiences, it's just bizarre how we end up here. With such a middling show that seems to be made for an imaginary audience.I guess the good thing about trying to alienate an audience is that eventually all of us feeling disappointment and then writing about, it will just stop caring anymore so there will be less people complaining. Maybe that's what Disney want?",4.0
" Star Wars writers should know...Star Wars?
",2024-06-06,"Episode 1 was hard to watch. Writing on this series so far is at the CW level, and toward the low end of that. The casting, or miscasting perhaps, is baffling. The lead looks too young for the character she portrays, and lacks seriously in presence. The character isn't interesting to boot. What was the thinking behind assigning her this acting task? Other characters suffer from the same mismatch problems. It's as if the characters and their actors were drawn out of a hat.Onto other issues. Dialog is clunky. As an example during a fight, one character asks another why they are there. Answer: to kill you. If killing with excess cringe were STAR WARS canon, this would be a dangerous weapon for THE ACOLYTE.Kung-fu action is another main theme for this series. Why? It doesn't look like STAR WARS. Could we get some explanation why the fighting style is suddenly front and center?In sum, THE ACOLYTE is a poorly written mess out the gate, and it suffers from an apparent general lack of understanding in regard to the STAR WARS universe. Overall showrunning on this one is poor.",3.0
" Weak writing, poor acting
",2024-06-22,"Bad Dialogue: Lines that feel forced or unnatural, lacking the wit or emotional weight the situation demands. Super CringeFlat Delivery by Actors: Performances that fail to convey emotions or connect with the audience.Singing Witches:Unfitting Singing Style: The music or singing style might clash with the overall Star Wars atmosphere.Poor Execution: The singing itself might be off-key, awkward, or lack emotional impact.Unnecessary Inclusion: Some viewers might feel singing adds nothing to the story and disrupts the flow.How did Jedi Master Ki-Adi-Mundi appear in a story before he was born?",1.0
" The Acolyte: A Final Breath for Star Wars
",2024-06-14,"""The Acolyte"" represents a disappointing addition to the Star Wars franchise. The overwhelming number of negative reviews left here should tell you all you need to know about this dumpster fire of a show. The scarcity of positive reviews further underscores the series' shortcomings. Notably, many negative reviews are heavily voted down, yet there are very few positive reviews to counter them. This disparity highlights the overall lack of enthusiasm and support for the series, leaving us, the Star Wars fans underwhelmed and frustrated at what might be the final breath in our beloved Star Wars journey.",
" Was really hoping for better
",2024-06-21,"I just finished watching The Acolyte and the first word that comes to mind is disappointing. I was really hoping for better. I'm a Star Wars fan so I was really looking forward to this. I do admit that the visuals here are incredible. The acting wasn't horrible either, it's the writing that's bad which seems like the ongoing issue with these Star Wars shows, except for The Mandalorian which was great. When the writing is this bad then it doesn't matter who the actors are or how good the show looks because it's still a bad show. Hopefully this will get better if they do another season but I'm not counting on it.",1.0
" One of the worst shows I've ever seen.
",2024-06-19,"I created an account specifically to share my thoughts on ""Star Wars: The Acolyte,"" and unfortunately, I must say that this is one of the worst shows I have ever seen.Firstly, the writing is exceedingly sloppy. The dialogue often feels contrived and unnatural, making it difficult to invest in the characters or their motivations.Speaking of the characters, the acting leaves much to be desired. Performances across the board are lackluster, with many actors delivering their lines without any real conviction or emotion. This contributes to a general sense of detachment from the story and its players.Moreover, the show's narrative structure is flawed. Pacing issues abound, with certain scenes dragging on unnecessarily while others that seem crucial to the plot are rushed or glossed over entirely. This disjointed approach makes it challenging to follow the storyline or feel any meaningful engagement.In terms of production, while the special effects and set designs are passable, they are not enough to salvage the show from its fundamental shortcomings. Visuals alone cannot compensate for the lack of substance in the writing and acting.Long story short this show is absolute trash. Do not watch.",1.0
" Have the writers ACTUALLY seen Star Wars??
",2024-06-13,"Holy mother of god. Get writers who ACTUALLY know and love Star Wars. SURELY IT CANT BE THAT HARD.This is just genuinely so painful and sad to watch. I don't know how they can have such success with Andor and turn around to make something like this.It's as if the writers have absolutely no knowledge of Star Wars lore and literally just heard the plot from a friend and are trying to make a series from that.Also, the acting is so subpar that it's just plain cringe. Maybe it's from the stilted dialogue? But surely there are better actors they could have pulled with that kind of a budget.Pain.",1.0
" Any fan could do it better.
",2024-06-11,"This rating and review is for the first episode (even Yoda wouldn't have the power to go through
the second episode.) people say you got to bring your A game on the first episode cause it will be the one who rooks the audience in, and will set the base for the whole show.The first episode of this show is so dumb and badly written, nobody in the creative/writing team know anything about Star Wars and to makes things worst they haven't seen any critic, memes or jokes about the Disney shows they already have, they made so lightsabers can't kill force users, but now knives can? The Jedi death scene was one of the worst things I've seen ever, you know how you fill bad when a character is so dumb or does something so stupid that you have to change the channel or just turn off, you will feel this through the whole episode about the writing in this show, the feeling to just quit because it can't really be serious, this shows was not proof read nor audience tested, I remember a time when Netflix became a joke cause people thought that any idea anyone sent there was made into a show and I think that's exactly what Disney is doing with it's IPs, there is nobody in charge.Bob, Kathleen and Walt's descendants next time any of you decide to throw money away just send it to me, I will use it in a better way.",2.0
" Agenda filled mess
",2024-06-10,"Bad, predictable Plot, poor Character writing and weird pacing.""The Acolyte,"" the latest addition to the Star Wars universe by Leslie Headland, is a colossal disappointment. The plot is painfully predictable, following a tired and uninspired storyline that does little to engage viewers. It's clear that the show is more focused on ticking boxes for Diversity, Equity, and Inclusion than on crafting a compelling narrative. This forced agenda overshadows any potential the show might have had, resulting in a contrived and unconvincing storyline.The pacing in the first two episodes is dreadful, dragging along without any real momentum. The fight choreography is stiff and overly choreographed, making action scenes feel forced and unexciting. The characters are one-dimensional, with every male character portrayed as dumb and incompetent, a blatant attempt to undermine them rather than create strong, multifaceted female characters.The show's attempt to be progressive comes off as pandering, and the lack of depth in its characters and story is glaringly obvious. ""The Acolyte"" feels more like a box-ticking exercise than a genuine addition to the Star Wars lore. If you're looking for a captivating and thrilling Star Wars experience, this isn't it. Save yourself the time and skip this poorly executed mess.",2.0
" I Know Kung Fu
",2024-06-06,"Two episodes in and all I can think about is how much this series seems to have ripped off scenes from The Matrix. Having Carrie-Anne Moss effectively play Trinity again but dressed in a Jedi robe was bizarre and ridiculous.The martial arts direction they appear to be trying to take for this series' action scenes makes for a strange and jarring choice. Even the non-Jedi characters seem to be experts in kung fu. It doesn't feel like Star Wars at all.Much of the dialogue sounds flat, as if it were straight from a high school drama production.I laughed hard at the scenes with Torbin, a levitating Jedi master, in the second episode. The makeup department takes a very young actor and gives him a terrible fake beard and receding hairline to make him look like an old man. It looks like something from an SNL sketch.Overall, the show is generally uninteresting and at times laughable. This is the reason I will probably watch to the end, just to see how bad it gets.So, it falls into the 'so bad it's good' category but I'm not sure that what the creators were going for.",3.0
" The final nail in the coffin.
",2024-06-10,Hope is not or else this is the final nail in the coffin for me regarding Star Wars future shows. Give up after watching the initial pilot episodes. How can someone even imagine coming out with such a lousy show. Total waste of time watching this ridiculously uninspired new series. Show start right off with scripts taken right off the typical Martial arts movie and then ended up with all kind of weird plots as if the producers were too lazy to think and just let AI to generate the script. By now I am truly convince that the top brass in Disney will not continue to stop destroying whatever is still left of our beloved Star Wars memories.,1.0
" Not worth your time
",2024-06-13,"Much better productions to watch. Just so bad now. The Acolyte storyline & characters unengaging or poorly developed. The plot lacks coherence, characters fall flat and underdeveloped, and the pacing is off, a uneventful overall viewing experience. Additionally, the technical aspects like poor special effects, uninspired cinematography, and weak dialogue also contributes to it being a poor series to spend time on. Disney has failed its fans with this latest release. Poor choices for actors and their characters. Its a shame that this has happened and what an insult to Mr. George Lucas who let this go years ago. He should acquire it back asap.",1.0
" So far the most disappointing SW series ever
",2024-06-13,"After three episodes I really don't know where to start. Good things: it's in Star Wars Universe (at least it should be) Carrie-Anne Moss was also very classy in the beginning and I was glad to see her performing so well. But that's it then about the good things. It went so quickly for the 5 star dinner into the fast food department. The story is just childish and makes not much sense. Actors mediocre at their best. Nothing new nor interesting aspects in the show. I don't know what's the target audience, at least it's not made for the Star Wars fans at all. Light years behind Andor, Mandalorian and others.",
" A Teenage Soap Opera in Space
",2024-06-05,"I feel that this is a Jedi story written for the 16-25 age group.-The evil twin thing? Done to death
-The whole I can overpower a Jedi Master with daggers coz she was distracted??😁😭 = Impossible.-The cast.. so so young and in our Universe= inexperienced. ( Now I loved them talented actors, but we are now reduced to shirtless Jedi Knights? WHY?)
-Great represantion but...watch Vampire Diaries or TWILIGHT thingy..or something like that U will get the same result 😉.-Fight choreography is on point I must say ...but again..we have a ""Jedi Master who looks 12 meditating in space with a ridiculous beard 🙄.So..
Budget: Excellent
Cast: Pretty Good
Production: Excellent
Story: 😂 Not it!!Watch it coz U love Star Wars but if U are expecting Obiwan/Andor/Mando...you will be disappointed.",6.0
" A Script Doctor and Ghostwriter's take on the Acoylte
",2024-06-12,"As a former working script doctor and ghostwriter, my advice to the writing team, read ""Save the Cat"" and their beat sheet on ""A New Hope."" The beat sheet highlights the hero's journey.The Acolyte's inciting incident is not even in the series. The inciting incident is actually all the films and books that came before. The series is counting on us on being hooked on Star Wars. That is what propels us to watch. That is the inciting incident. In an attempt to be all inclusive it excludes the most important thing of all, the Star Wars lore, the history and continuity.Stop forcing exposition, diversity, and show don't tell. It's okay to have a story that explores social themes if done right. Don't tell the audience what we need to feel. Show us and the emotion will come naturally.",1.0
" What have they done to my favourite franchise?
",2024-06-13,"Star Wars is about leaving your own reality and entering a magical Star Wars universe that got me and many others so excited since the 80s (in my case). This is not Star Wars. I don't know what it is. It's an absolute disgrace that these creators are making a living from ruining something that used to be so perfect. I hope this is the breaking point for the current creators. That's the only positive I can derive from this absolute mess! It's one thing for Disney to ruin all of the best classic cartoon classics like the Little Mermaid etc, it's another to do it to something so precious as Star Wars.",1.0
" The worst Star Wars project since the Holiday Special.
",2024-06-07,"Quite literally the worst Star Wars project since the Holiday Special. It actively changes the Star Wars universe, the nature of the Force, and all of the canon that has come before. It's straight garbage, written by people with no respect for the franchise, and directed by people with no capability of creating a TV show. It's profoundly senseless.Poorly written, poorly acted, poorly edited, and poorly paced. The entire show appears to be little more than a vanity project full of self-inserts rather than real characters. The decisions made by the characters don't make sense and break immersion constantly. The concepts introduced seem to be little more than whims, with no reasoning behind them and no explanation as to why they don't line up with franchise canon.The idea behind the story may be decent, but the writer/showrunner is far too vain and inept to give it a proper attempt.",2.0
" Really?
",2024-06-12,"I am sorry, but episode 3 has some of the worst story telling and writing I have ever seen. That tiny fire caused ALL of that damage and the acting was so hard to watch. I really wanted to like this show. 3 episodes in and I am struggling to find reasons to keep watching. Where is this show going? This is not Star Wars. Why is Disney trying to reinvent the wheel. This is a boring and pointless show. I feel sorry for everyone involved, I am sure a lot of effort and hours went into making this show, but Disney needs to get things together. This is not want the majority of Star Wars fans want. If you like this show that's awesome, I am glad you like it but it's not for me.",1.0
" Sad to see that it's HORRIBLE
",2024-06-12,Starwars has continued to make new shows that are very entertaining. However the acolyte takes Ali's back 100 years before the fall of the republic which is quite neat. All this to say some how Disney scribed it up. The show has extremely poor writing and an uninteresting sorry. Not to mention the story has a contradiction ever 2 minutes. There is no build up and Disney some how expects us to become. Attached with the characters. Besides all of that the show just gives an unlikable vibeThis rating is made 3 episodes in so it may change.The positives: I really like how starwars decided to go back in time rather than continuing to go fowardI love the costume designs.,2.0
" Anyone rating this excrement over 1 is A.I.
",2024-06-23,Barely able to understand who is writing this series. The amount of money spent on each episode means that a 5 year old with a tablet could do a better job. Going to rewatch the original movies to cleanse my thoughts of how Disney messed up another franchise.Since I have to write more to post I will say I was very disappointed on how they developed the story. The characters are so stupid and they have no relevance to any storyline from anything written. If you have watch it turn the sound off and create you own story and find a way to connect it to anything Star Wars. You might even have a laugh.,
" SW fans will kill the franchise
",2024-06-24,"You nerds don't even know what you want. Jedi are space cops. What is the series about? Space cops. What exactly do you want? The writing is juvenile but this series is marketed towards the YA audience. What are you expecting? This is not for the nerd who saw Star Wars in the theatre at age 7 and now wants a o relive that impossible magic. You are never going to get it so grow up and just accept you will never be 7 years old again. This is a series with limited budget that shows with YA writing, it shows. I'm mildly entertained but I'm in my 40's. It's not for me. At least it's Old Republic and they are expanding the universe finally giving us Jedi policing the galaxy and using the force. It's not that bad dorks. Either support a mediocre series or lose it all.",6.0
" Let's give The Acolyte a review for what it really is
",2024-06-22,"A VERY POORLY WRITTEN SHOW. Let's not get distracted by the pronouns, the blaming of the fans, the blaming of the critics, the politics inside Disney, and let's focus on aspects that are perfectly in control of the producers of the show: Inconsistencies in the story, the dialogues that do not seem to be written by a human, and the acting that does not seem to be done by a human either.I am not a Star Wars fan, but I can recognize when a show is not consistent with the lore it is supposed to be a part of. Oh my! I can only imagine how painful watching this show must be for hard-core fans of Star Wars!",1.0
" Absolute JUNK!
",2024-06-12,"What a load of $#%#! This series is the worst on planet earth. What is Disney thinking??!! How about giving us a show that concentrates on pure entertainment. The script, acting and directing is the worst you'll ever see. 0 / 10. Scrap this junk immediately. A complete dumpster fire!!!Star Wars under Disney and Kathleen Kennedy is dead. She's totally wrecked the whole universe, the characters and anything that makes sense. The Acolyte really shows how far they have plummeted and just produce junk without any care. I'm a Star Wars fan and I'm open to all shows... but f@$& me! How can something cost so much and be a sack of smokin' crud!Disney needs to be cleaned out including the CEO.",1.0
" Feels like something a teen would come up with
",2024-06-05,"To keep the review simple, the characters' behavior and the story they try to tell in these first two episodes feel bland. It feels as if it would be a sketch done by a pre-teen redrawn together by great visual artists.The show does look and feel great. The environment is well put together as is the CGI.Events seem to happen somewhat randomly only to forcefully push the story forward or to trigger some sort of emotion without any particular setup or explanation.The characters feel like they would be part of the Jedi world, but they behave so poorly as trained Jedi masters.On the other hand, it could be a story about how the Jedi order has been slacking and degrading due to them having taken over the galaxy and being in control for so long at the point in time where the show takes place.But I doubt they thought so far considering what we've seen in these first two episodes. Let's see the rest of the show.",4.0
